row_idx	col_idx	log2ratio
6	14	0.099828
6	15	0.362154
6	16	0.57399
6	17	0.0214662
6	18	0.0666841
6	19	0.0147462
6	20	0.0122784
6	21	0.308281
6	22	0.433157
6	23	0.0406088
6	24	0.0367739
6	25	0.515551
6	26	0.623266
6	27	0.56277
6	28	0.648027
6	29	0.0151149
6	30	0.0543965
6	31	0.128855
6	32	0.146607
6	33	0.00981922
6	34	0.0158147
6	35	0.0802875
6	36	0.083434
6	37	0.0134763
6	38	0.0255559
6	39	0.215276
6	40	0.232198
6	41	0.0167597
6	42	0.0365356
6	43	0.0686546
6	44	0.0874116
6	45	0.0634033
6	46	0.0862944
6	47	0.0704892
6	48	0.0650788
6	49	0.105606
6	50	0.126209
6	51	0.122438
6	52	0.128694
6	53	0.161803
6	54	0.23703
6	55	0.197574
6	56	0.217882
6	57	0.0257701
6	58	0.0387584
6	59	0.094917
6	60	0.109239
6	61	0.0213493
6	62	0.0497142
6	63	0.0839032
6	64	0.0990064
6	65	0.0813064
6	66	0.0646726
6	67	0.0546511
6	68	0.0379284
6	69	0.0169913
6	70	0.0491652
6	71	0.302363
6	72	0.276102
6	73	0.10556
6	74	0.0924062
6	75	0.13047
6	76	0.0362983
6	77	0.0746865
6	78	0.0634627
6	79	0.0723112
6	80	0.109116
6	81	0.177377
6	82	0.0924562
6	83	0.155077
6	84	0.23016
6	85	0.188638
6	86	0.280935
6	87	0.243421
6	88	0.266198
6	89	0.283287
6	90	0.325748
7	1	0.424955
7	2	0.224741
7	3	0.737189
7	4	0.507797
7	5	0.058417
7	6	0.00829353
7	7	0
7	8	0.544635
7	9	0.114003
7	10	0.0239419
7	11	0.340076
7	12	0.180535
7	13	0.513017
7	14	0.209248
7	15	0.0643933
7	16	0.0135183
7	17	0.0617155
7	18	0.0127109
7	19	0.38828
7	20	0.288166
7	21	0.0134289
7	22	0.0132947
7	23	0.615139
7	24	0.490916
7	25	0.0913912
7	26	0.0591101
7	27	0.00762143
7	28	0
7	29	0.0739684
7	30	0.0144959
7	31	0.314398
7	32	0.300157
7	33	0.268552
7	34	0.242942
7	35	0.193037
7	36	0.126997
7	37	0.0360741
7	38	0.0141053
7	39	0.024001
7	40	0.00270166
7	41	0.0558367
7	42	0.00120989
7	43	0.172108
7	44	0.150548
7	45	0.15123
7	46	0.142433
7	47	0.141338
7	48	0.139216
7	49	0.142054
7	50	0.128198
7	51	0.215461
7	52	0.124008
7	53	0.150943
7	54	0.122089
7	55	0.102895
7	56	0.0377412
7	57	0.23795
7	58	0.192742
7	59	0.193705
7	60	0.130352
7	61	0.30637
7	62	0.235918
7	63	0.163029
7	64	0.114321
7	65	0.274458
7	66	0.228504
7	67	0.287995
7	68	0.15452
7	69	0.200254
7	70	0.214933
7	71	0.0809897
7	72	0.0702927
7	73	0.101451
7	74	0.0794094
7	75	0.0373225
7	76	0.0677398
7	77	0.041684
7	78	0.0261541
7	79	0.00697173
7	80	0.0167181
7	81	0.0784115
7	82	0.0476993
7	83	0.0227643
7	84	0.0154882
7	85	0.179383
7	86	0.0591159
7	87	0.0247224
7	88	0
7	89	0.108144
7	90	0.0602775
8	1	0.22788
8	2	0.317656
8	3	0.423143
8	4	0.659435
8	5	0.065043
8	6	0.0904162
8	7	0.544635
8	8	0
8	9	0.112834
8	10	0.134575
8	11	0.169707
8	12	0.382009
8	13	0.226155
8	14	0.415691
8	15	0.0347552
8	16	0.0964776
8	17	0.0700607
8	18	0.111097
8	19	0.225196
8	20	0.28106
8	21	0.0114296
8	22	0.0319693
8	23	0.33198
8	24	0.46097
8	25	0.0150538
8	26	0.0566954
8	27	0.0152587
8	28	0.0344729
8	29	0.117223
8	30	0.0951503
8	31	0.207587
8	32	0.320282
8	33	0.262763
8	34	0.400585
8	35	0.0857677
8	36	0.0839715
8	37	0.00622748
8	38	0.00880426
8	39	0.00423931
8	40	0.0032418
8	41	0.0396361
8	42	0.0139432
8	43	0.059076
8	44	0.0592226
8	45	0.0554926
8	46	0.0790881
8	47	0.082656
8	48	0.0706555
