row_idx	col_idx	log2ratio
4	54	0.0423912
4	55	0.0546379
4	56	0.029773
4	57	0.201151
4	58	0.217164
4	59	0.192336
4	60	0.187637
4	61	0.164147
4	62	0.21559
4	63	0.0848439
4	64	0.0911793
4	65	0.171498
4	66	0.228368
4	67	0.178742
4	68	0.170811
4	69	0.254853
4	70	0.193086
4	71	0.173065
4	72	0.163995
4	73	0.109574
4	74	0.0954649
4	75	0.0694577
4	76	0.0851558
4	77	0.081707
4	78	0.0751698
4	79	0.0448708
4	80	0.0490517
4	81	0.0818702
4	82	0.0654373
4	83	0.0457275
4	84	0.038712
4	85	0.0995785
4	86	0.109674
4	87	0.0535367
4	88	0.0725749
4	89	0.0662809
4	90	0.0529164
5	1	0.037089
5	2	0.00956684
5	3	0.120945
5	4	0.0742584
5	5	0
5	6	0.739335
5	7	0.11397
5	8	0.085594
5	9	0.747083
5	10	0.630816
5	11	0.0604959
5	12	0.0368867
5	13	0.0933519
5	14	0.077758
5	15	0.587235
5	16	0.495372
5	17	0.0334158
5	18	0.0140442
5	19	0.042436
5	20	0.0282791
5	21	0.387382
5	22	0.407629
5	23	0.133497
5	24	0.122783
5	25	0.555572
5	26	0.55538
5	27	0.709167
5	28	0.670608
5	29	0.066027
5	30	0.0425693
5	31	0.244348
5	32	0.228926
5	33	0.0312992
5	34	0.0321639
5	35	0.072835
5	36	0.0565538
5	37	0.0816335
5	38	0.0535497
5	39	0.257282
5	40	0.230066
5	41	0.0801643
5	42	0.0797318
5	43	0.158819
5	44	0.128629
5	45	0.086454
5	46	0.101738
5	47	0.143965
5	48	0.106801
5	49	0.0979878
5	50	0.0911975
5	51	0.164245
5	52	0.117607
5	53	0.249762
5	54	0.212943
5	55	0.276387
5	56	0.206627
5	57	0.0335595
5	58	0.00756881
5	59	0.0800203
5	60	0.0590523
5	61	0.0567086
5	62	0.0259209
5	63	0.051794
5	64	0.0158129
5	65	0.126634
5	66	0.0659308
5	67	0.061344
5	68	0.0528165
5	69	0.0296893
5	70	0.0302751
5	71	0.264737
5	72	0.270087
5	73	0.122395
5	74	0.0993515
5	75	0.177627
5	76	0.113178
5	77	0.0725578
5	78	0.0500223
5	79	0.116127
5	80	0.0911373
5	81	0.191783
5	82	0.0836475
5	83	0.199267
5	84	0.190533
5	85	0.33011
5	86	0.264913
5	87	0.30181
5	88	0.276741
5	89	0.390147
5	90	0.306001
6	1	0.0304113
6	2	0.0164565
6	3	0.071383
6	4	0.0826033
6	5	0.739335
6	6	0
6	7	0.0792736
6	8	0.122457
6	9	0.630284
6	10	0.750199
6	11	0.0512328
6	12	0.0542992
6	13	0.0691614
6	14	0.0889736
6	15	0.495559
6	16	0.571828
6	17	0.0365281
6	18	0.0203285
6	19	0.0271118
6	20	0.0324794
6	21	0.333635
6	22	0.41752
6	23	0.0855097
6	24	0.107356
6	25	0.486217
6	26	0.568888
6	27	0.637026
6	28	0.727019
6	29	0.0561895
6	30	0.0508963
6	31	0.233661
6	32	0.239592
6	33	0.0247094
6	34	0.0356714
6	35	0.0364441
6	36	0.0429355
6	37	0.0645453
6	38	0.0508456
6	39	0.223062
6	40	0.250524
6	41	0.0799933
6	42	0.0707955
6	43	0.150585
6	44	0.11357
6	45	0.0881215
6	46	0.106001
6	47	0.124872
6	48	0.100775
6	49	0.102309
6	50	0.0899031
6	51	0.15164
6	52	0.115469
6	53	0.258212
6	54	0.232159
6	55	0.271402
6	56	0.232428
6	57	0.0275834
6	58	0.00930573
6	59	0.0614398
6	60	0.065997
6	61	0.0402117
6	62	0.0548931
6	63	0.0486376
6	64	0.0241158
6	65	0.0852919
6	66	0.0724684
6	67	0.0464139
6	68	0.0512201
6	69	0.0275835
6	70	0.0331513
6	71	0.246434
6	72	0.260859
6	73	0.0902241
6	74	0.101151
6	75	0.147894
6	76	0.101829
6	77	0.0572614
6	78	0.048461
6	79	0.107162
6	80	0.104115
6	81	0.178665
6	82	0.0983564
6	83	0.163842
6	84	0.187575
6	85	0.265659
6	86	0.304984
6	87	0.27175
6	88	0.289897
6	89	0.379807
6	90	0.370495
7	1	0.401843
7	2	0.161757
7	3	0.748765
7	4	0.55283
7	5	0.11397
7	6	0.0792736
7	7	0
7	8	0.568002
7	9	0.204999
7	10	0.0984272
7	11	0.355386
7	12	0.208401
7	13	0.478086
7	14	0.25484
7	15	0.143717
7	16	0.0666918
7	17	0.0801143
7	18	0.0425534
7	19	0.356357
7	20	0.23202
7	21	0.0482338
7	22	0.0510652
7	23	0.559706
7	24	0.489232
7	25	0.108556
7	26	0.102999
7	27	0.0436066
7	28	0.0423229
7	29	0.101447
7	30	0.053659
7	31	0.326273
7	32	0.291183
7	33	0.256472
7	34	0.224959
7	35	0.102678
7	36	0.0556897
7	37	0.0489615
7	38	0.0138584
7	39	0.0365082
7	40	0.0107433
7	41	0.0514563
7	42	0.0484049
7	43	0.0755971
7	44	0.054514
7	45	0.116814
7	46	0.0775411
7	47	0.0509939
7	48	0.0257303
7	49	0.13395
7	50	0.0852946
7	51	0.165123
7	52	0.0843878
7	53	0.0783939
7	54	0.0468395
7	55	0.0629974
7	56	0.023539
7	57	0.241614
7	58	0.11724
7	59	0.220798
7	60	0.0954159
7	61	0.342568
7	62	0.170806
7	63	0.176654
7	64	0.103359
7	65	0.308479
7	66	0.173304
7	67	0.194956
7	68	0.102091
7	69	0.137333
7	70	0.0807413
7	71	0.147245
7	72	0.127839
7	73	0.14124
7	74	0.101662
7	75	0.0875958
7	76	0.0776243
7	77	0.0766429
7	78	0.0472695
7	79	0.058562
7	80	0.0425297
7	81	0.0993043
7	82	0.05151
7	83	0.0540518
7	84	0.0329789
7	85	0.164759
7	86	0.0641632
7	87	0.0653365
7	88	0.0562867
7	89	0.116232
7	90	0.0527735
8	1	0.248534
8	2	0.296515
8	3	0.440362
8	4	0.685978
8	5	0.085594
8	6	0.122457
8	7	0.568002
8	8	0
8	9	0.126591
8	10	0.153365
8	11	0.244398
8	12	0.433865
8	13	0.280706
8	14	0.483219
8	15	0.0682662
8	16	0.108077
8	17	0.0948451
8	18	0.0872636
8	19	0.257214
8	20	0.268709
8	21	0.0368925
8	22	0.0573848
8	23	0.376947
8	24	0.495539
8	25	0.0498206
8	26	0.0752926
8	27	0.0433686
8	28	0.054031
8	29	0.0953359
8	30	0.0804984
8	31	0.238499
8	32	0.311636
8	33	0.287834
8	34	0.379895
8	35	0.0693526
8	36	0.0783063
8	37	0.0292427
8	38	0.0182051
8	39	0.0246508
8	40	0.0146227
8	41	0.0400682
8	42	0.0532709
8	43	0.05756
8	44	0.0509955
8	45	0.084128
8	46	0.0935251
8	47	0.0423205
8	48	0.0331313
8	49	0.0998606
8	50	0.0819052
8	51	0.103141
8	52	0.0803506
8	53	0.0702247
8	54	0.0421877
8	55	0.0433907
8	56	0.0318445
8	57	0.17968
8	58	0.204829
8	59	0.145604
8	60	0.170994
8	61	0.249544
8	62	0.374516
8	63	0.164343
8	64	0.254624
8	65	0.14955
8	66	0.251569
8	67	0.135714
